Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Flagged Journals: Flagged Journals,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,flagged_journals/flagged_journals,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BI.1,----------,"## Admin - Add, Edit, Resolve",----------
,,"Setup: At the top of the Testdrive page, the test title is shown followed by its ID, e.g. 'Flags (id: 234)'.",
,,"Setup: Usernames and record titles follow the `name__id` format. When the test says to log in as User__<id>, use the test ID, e.g. User__123.",
,,"Setup: During the test, you may see multiple records or users with the same name. Always select the one that matches your test ID.",
,,Setup: All data in the Testdrive dashboard includes a copy button. You can use it to quickly copy the correct value and use it in the relevant place in the test.,
BI.1.1.,Admin,Navigate to /testdrive/flags,
BI.1.2.,Admin,"In a separate tab, login as 'LordWiggleworth__<id>' (admin)",
BI.1.3.,Admin,"Open the ""Feline Aerodynamics Review Journal__<id>"" admin form - the url is provided in the testdrive",
BI.1.3.1.,Admin,,Above the notes there is the Add Flag button visible and active
BI.1.4.,Admin,Click Add Flag button,
BI.1.4.1.,Admin,,An empty flag form is displayed
BI.1.5.,Admin,"In 'Assign an admin' input attempt to add username ""MadamPonderleaf__<id>""",
BI.1.5.1.,Admin,,No matches are found it is not possible to assign this user
BI.1.6.,Admin,"In 'Assign an admin' input add username ""ProfessorQuibbleton__<id>"" (admin)",
BI.1.6.1.,Admin,,Username is found and it can be selected
BI.1.7.,Admin,"Select ""ProfessorQuibbleton__<id>""",
BI.1.8.,Admin,"In the ""Deadline"" input attempt to add an improbable date (e.g., 2025-02-31)",
BI.1.8.1.,Admin,,It's not possible to enter an improbable date
BI.1.9.,Admin,"In the ""Deadline"" input add a date in the past",
BI.1.9.1.,Admin,,"A warning ""Provided deadline is in the past. Is it correct?"" is displayed under the deadline input"
BI.1.10.,Admin,In text area add flag's note (any text),
BI.1.11.,Admin,Save the form (do not close it),
BI.1.11.1.,Admin,,Journal form is saved correctly
BI.1.12.,Admin,In deadline input add a date in exactly 1 week,
BI.1.12.1.,Admin,,Warning disappears
BI.1.13.,Admin,Save application,
BI.1.13.1.,Admin,,The flag is saved and additional data (Created by <i>user</i> at <i>date</i>) are displayed
BI.1.13.2.,Admin,,All fields are editable
BI.1.13.3.,Admin,,Add Flag button is disabled
BI.1.14.,Admin,Close the application with Unlock & Close,
BI.1.15.,Admin,"Open ""The Bermuda Triangle Journal of Lost and Found __<id>"" admin form - the url is provided in the testdrive",
BI.1.15.1.,Admin,,The record has a flag assigned to MadamPonderleaf__<id>
BI.1.15.2.,Admin,,All flag fields are editable
BI.1.15.3.,Admin,,Add Flag button is disabled
BI.1.16.,Admin,Click Resolve Flag button,
BI.1.16.1.,Admin,,The flag is marked as resolved - a RESOLVED label is displayed and all related inputs become disabled.
BI.1.16.2.,Admin,,Add Flag button is active
BI.1.16.3.,Admin,,Undo Resolving button is active
BI.1.17.,Admin,Click Undo Resolving,
BI.1.17.1.,Admin,,The flag is displayed in normal mode
BI.1.18.,Admin,Click Resolve Flag,
BI.1.19.,Admin,Click Add Flag,
BI.1.19.1.,Admin,,A new empty flag form is displayed above the resolved flag
BI.1.19.2.,Admin,,Add Flag button is disabled
BI.1.19.3.,Admin,,Resolve Flag under the previous flag is disabled
BI.1.20.,Admin,Click Cancel to cancel adding a flag,
BI.1.20.1.,Admin,,The empty form is hidden
BI.1.20.2.,Admin,,Undo Resolving and Add Flag buttons are active
BI.1.21.,Admin,Click Add Flag button,
BI.1.22.,Admin,"Add a new flag, assign it to ProfessorQuibbleton__<id>, set a deadline in over 7 days in the future, and provide a note, then save the application",
BI.1.22.1.,Admin,,The new flag is saved and displayed
BI.1.22.2.,Admin,,The old flag was converted to a note with previous flag's details
BI.1.23.,Admin,Click Unlock & Close to close the application,
BI.1.24.,Admin,"Open ""Journal of Intergalactic Diplomacy record __<id>"" admin journal form - the url is provided in the testdrive",
BI.1.24.1.,Admin,,This record has a flag assigned to you (LordWiggleworth__<id>)
BI.1.24.2.,Admin,,The flag is marked with a red flag icon
BI.1.24.3.,Admin,,Resolve Flag button is active and all fields are editable
BI.1.25.,Admin,Unlock and Close the application,
----------,----------,----------,----------

----------,----------,----------,----------
## BI.2,----------,## Admin - Flags Notifications,----------
,,"Setup: If you haven't performed previous test (Admin - Add, Edit, Resolve) prepare the Journal by following all the steps; otherwise you may omit steps 2-9",
BI.2.1.,Admin,Navigate to /testdrive/flags,
BI.2.2.,Admin,In a separate tab login as LordWiggleworth__<id> (admin),
BI.2.3.,Admin,"Feline Aerodynamics Review - a journal assigned to you, with no flags",
BI.2.4.,Admin,Click Add Flag button,
BI.2.5.,Admin,"Assign ""ProfessorQuibbleton__<id>""",
BI.2.6.,Admin,Add deadline in exactly 1 week,
BI.2.7.,Admin,In the text area add the flag's note (any text),
BI.2.8.,Admin,"Save application, Unlock & Close the form",
BI.2.9.,Admin,Log out,
BI.2.10.,Admin,"In a separate tab log in as ""ProfessorQuibbleton__<id>""",
BI.2.10.1.,Admin,,"At the top navbar ""Notifications"" indicate a new notification"
BI.2.11.,Admin,Hover over Notifications button,
BI.2.12.,Admin,"Click on the ""New flag"" notification",
BI.2.12.1.,Admin,,"The form of the ""Feline Aerodynamics Review __<id>"" journal is opened in a new tab"
BI.2.12.2.,Admin,,"On the right the flag is displayed and assigned to you (""ProfessorQuibbleton__<id>"")"
BI.2.13.,Admin,"Unlock & Close the form, close the tab",
BI.2.14.,Admin,Click the Notifications button at the top navigation bar,
BI.2.14.1.,Admin,,/dashboard/notifications opens
BI.2.14.2.,Admin,,"At the top of the list ""New flag"" notification is displayed."
BI.2.14.3.,Admin,,"The long description says ""A new flag in 'Feline Aerodynamics Review __<id>' has been assigned to you"""
BI.2.15.,Admin,Open the testdrive/flags page <b>do not close the page where you are logged in</b>,
BI.2.16.,Admin,"Click ""Run background task"" button located at the bottom of the testdrive page, wait for the task to execute",
BI.2.17.,Admin,Go back to the tab where you are logged as ProfessorQuibbleton,
BI.2.18.,Admin,refresh the page,
BI.2.19.,Admin,navigate to /dashboard/notifications if not already there,
BI.2.19.1.,Admin,,"At the top of the notifications list a new notification ""Deadline reminder"" is listed"
BI.2.19.2.,Admin,,"Long description says ""The deadline for the flag in 'Feline Aerodynamics Review__<id>' is in 7 days."""
BI.2.19.3.,Admin,,At the top navbar Notifications button has a new notification marked
BI.2.20.,Admin,"Click ""See action"" link at the right of the new ""Deadline reminder"" notification",
BI.2.20.1.,Admin,,Feline Aerodynamics Review journal form is opened in a new tab
BI.2.21.,Admin,"Unlock & Close the form, close the tab",
----------,----------,----------,----------

----------,----------,----------,----------
## BI.3,----------,## Admin - Dashboard [NOT CURRENTLY USED],----------
BI.3.1.,Admin,Navigate to /testdrive/flags,
BI.3.2.,Admin,Login as an admin,
BI.3.2.1.,Admin,,You are presented with your dashboard
BI.3.2.2.,Admin,,The following records are displayed in your dashboard
BI.3.2.3.,Admin,,"Journal of Intergalactic Diplomacy - an application flagged to you with an urgent deadline (within 7 days), assigned to an associate in a group you are not a member of, marked as Flagged to you (Urgent Deadline)"
BI.3.2.4.,Admin,,"Journal of Quantum Homeopathy - an update request flagged to you with an urgent deadline (within 7 days), assigned to an associate from your group, marked as Flagged to you (Urgent Deadline)"
BI.3.2.5.,Admin,,"The Mars Agricultural Review - an application with a non-urgent flag (deadline in more than 7 days), marked as Flagged to you"
BI.3.2.6.,Admin,,"Cryptid Behavioral Studies Quarterly - an update request with a non-urgent flag (with no deadline), marked as Flagged to you"
BI.3.2.7.,Admin,,"The Bermuda Triangle Journal of Lost and Found - an application assigned to an editor from your group, flagged to someone else, NOT marked as flagged"
BI.3.2.8.,Admin,,"Feline Aerodynamics Review - an update request assigned to you, with no flags"
BI.3.2.9.,Admin,,You DO NOT see the Applied Alchemy & Unstable Chemistry update request (flagged to someone else and not assigned to your group)
