Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# New Application Form: Associate Editor Form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,new_application_form/associate_editor_form,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BL.1,----------,## Form Overview,----------
BL.1.1.,associate,"Go to the associate editor ""Applications Assigned to You"" search",
BL.1.2.,associate,"Select an application that is not in the ""Accepted"" or ""Rejected"" state, and click ""Review application""",
BL.1.2.1.,associate,,The associate editor view application form is displayed
BL.1.2.2.,associate,,"At the top the title, url and issn(s) are displayed"
BL.1.2.3.,associate,,Each item in the header has a copy button next to it
BL.1.2.4.,associate,,{'step': 'Click each copy button and'}
BL.1.2.5.,associate,,"{'step': 'Paste the value somewhere (e.g., Notepad)'}"
BL.1.2.6.,associate,,{'results': None}
BL.1.2.7.,associate,,correct value is copied
BL.1.2.8.,associate,,"The top section stays visible while scrolling, unless the screen is very short and the header takes more than 40% of the viewport"
BL.1.2.9.,associate,,"""Unlock and Close"" is available on the top right"
BL.1.2.10.,associate,,"A ""SAVE"" button is available"
BL.1.2.11.,associate,,Application Status and Subject Classification sections are available
BL.1.2.12.,associate,,The main application form questions are available
BL.1.2.13.,associate,,The Notes section is available
BL.1.3.,associate,Assign one or more subject classifications.  Expand the tree and look for values below the top level,
BL.1.4.,associate,Make a superficial modification to the application metadata,
BL.1.5.,associate,"Click ""Add new note"" and enter some text into the new note textarea",
BL.1.6.,associate,"Click ""SAVE""",
BL.1.6.1.,associate,,"A flash message tells you ""Application updated"" or you are scrolled down to a question which has an answer missing."
BL.1.6.2.,associate,,(Choose an answer for the empty questions)
BL.1.6.3.,associate,,The changes you applied have been saved
BL.1.7.,associate,"Click ""Unlock and Close""",
BL.1.7.1.,associate,,"The page closes, and you are able to return to the search interface"
----------,----------,----------,----------

----------,----------,----------,----------
## BL.2,----------,## Note features for Associate Editor,----------
BL.2.1.,associate,"Prepare two associate editor accounts (aseditor1 and aseditor2), they both can access to the same Application (e.g. /editor/application/1234)",
BL.2.2.,associate,Login as `aseditor1`,
BL.2.3.,associate,Go to Application page at `/editor/application/1234`,
BL.2.4.,associate,"Click ""ADD"" button in ""Notes"" area",
BL.2.4.1.,associate,,New note UI is displayed for you to fill in
BL.2.5.,associate,Fill in the note,
BL.2.6.,associate,"Click ""Save"" button",
BL.2.6.1.,associate,,The note is saved and displayed in the list of notes
BL.2.6.2.,associate,,you username and user id will be showed on that note
BL.2.6.3.,associate,,the date and time you created the note will be shown
BL.2.7.,associate,Click into the note field and edit the note,
BL.2.7.1.,associate,,The note is editable
BL.2.8.,associate,"Click ""Remove"" underneath the note",
BL.2.8.1.,associate,,The note is deleted
BL.2.9.,associate,Create a new note as per the above steps,
BL.2.10.,associate,Switch to other associate editor account `aseditor2`,
BL.2.11.,associate,Go to Application page at `/editor/application/1234`,
BL.2.11.1.,associate,,You can see the note that you have created before with `aseditor1`
BL.2.12.,associate,Attempt to click into the note area and edit it,
BL.2.12.1.,associate,,you are unable to edit the note
BL.2.13.,associate,"Attempt to click the ""Remove"" button",
BL.2.13.1.,associate,,You are unable to delete the note
BL.2.14.,associate,"Click ""copy"" button next to one of the fields (eg. Title)",
BL.2.14.1.,associate,,Confirmation with fields value is displayed for 3 seconds
BL.2.15.,associate,Attempt to paste the value (use separate editor),
BL.2.15.1.,associate,,Correct value is pasted
----------,----------,----------,----------

