Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Flagged Journals: Flagged Journals,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,flagged_journals/flagged_journals,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## BG.1,----------,"## Admin - Add, Edit, Resolve",----------
BG.1.1.,Admin,Navigate to /testdrive/flags,
BG.1.2.,Admin,In a separate tab login as LordWiggleworth (admin),
BG.1.3.,Admin,Open Feline Aerodynamics Review journal (available on your dashboard),
BG.1.3.1.,Admin,,Above the notes there is the Add Flag button visible and active
BG.1.4.,Admin,Click Add Flag button,
BG.1.4.1.,Admin,,An empty flag form is displayed
BG.1.5.,Admin,"In assigned_to input attempt to add ""MadamPonderleaf"" (an editor)",
BG.1.5.1.,Admin,,No matches found is displayed and it is not possible to assign the editor
BG.1.6.,Admin,"In assigned_to input add ""ProfessorQuibbleton"" (admin)",
BG.1.6.1.,Admin,,Id is found and it can be selected
BG.1.7.,Admin,"Select ""ProfessorQuibbleton""",
BG.1.8.,Admin,"In deadline input add an improbable date (e.g., 2025-02-31)",
BG.1.8.1.,Admin,,It's not possible to enter an improbable date
BG.1.9.,Admin,In deadline input add a date in a past,
BG.1.9.1.,Admin,,"A warning ""Provided deadline is in the past. Is it correct?"" is displayed under the deadline input"
BG.1.10.,Admin,Save the form (do not close it),
BG.1.10.1.,Admin,,Journal form is saved correctly
BG.1.11.,Admin,In deadline input add a date in exactly 1 week,
BG.1.11.1.,Admin,,Warning disappears
BG.1.12.,Admin,In text area add flag's note (any text),
BG.1.13.,Admin,Save application,
BG.1.13.1.,Admin,,The flag is saved and additional data (Created by <i>user</i> at <i>date</i>) are displayed
BG.1.13.2.,Admin,,All fields are editable
BG.1.13.3.,Admin,,Add Flag button is disabled
BG.1.14.,Admin,Close the application with Unlock & Close,
BG.1.15.,Admin,Open The Bermuda Triangle Journal of Lost and Found record (available on your dashboard),
BG.1.15.1.,Admin,,"The record has a flag assigned to another user, with no deadline and with a note."
BG.1.15.2.,Admin,,All flag fields are editable
BG.1.15.3.,Admin,,Add Flag button is disabled
BG.1.16.,Admin,"Add a valid deadline to a flag (e.g., 2025-04-01)",
BG.1.17.,Admin,Save the record,
BG.1.17.1.,Admin,,The flag is correctly saved with a new deadline
BG.1.18.,Admin,Click Resolve Flag button,
BG.1.18.1.,Admin,,The flag is marked as resolved
BG.1.18.2.,Admin,,Add Flag button is active
BG.1.18.3.,Admin,,Undo Resolving button is active
BG.1.19.,Admin,Click Undo Resolving,
BG.1.19.1.,Admin,,The flag is displayed in normal mode
BG.1.20.,Admin,Click Resolve Flag,
BG.1.21.,Admin,Click Add Flag,
BG.1.21.1.,Admin,,A new empty flag form is displayed above the resolved flag
BG.1.21.2.,Admin,,Add Flag button is disabled
BG.1.21.3.,Admin,,Resolve Flag under the previous flag is disabled
BG.1.22.,Admin,Click Cancel to cancel adding a flag,
BG.1.22.1.,Admin,,The empty form is hidden
BG.1.22.2.,Admin,,Undo Resolving and Add Flag buttons are active
BG.1.23.,Admin,Click Add Flag button,
BG.1.24.,Admin,"Add a new flag by assigning an admin and providing a note, then saving the application",
BG.1.24.1.,Admin,,The new flag is saved and displayed
BG.1.24.2.,Admin,,The old flag was converted to a note with text This flag was resolved on <i>date</i> by <your id>; and flag's note
BG.1.25.,Admin,Click Unlock & Close to close the application,
BG.1.26.,Admin,Open Journal of Intergalactic Diplomacy record,
BG.1.26.1.,Admin,,This record has a flag assigned to you
BG.1.26.2.,Admin,,"In the flag form, in the Assign a User input, there is your id with a red flag icon"
BG.1.26.3.,Admin,,Resolve Flag button is active and all fields are editable
----------,----------,----------,----------

----------,----------,----------,----------
## BG.2,----------,## Admin - Flags Notifications,----------
,,"Setup: If you haven't performed previous test (Admin - Add, Edit, Resolve) prepare the Journal by following the steps 1-8; otherwise you may start from the step 9;",
BG.2.1.,Admin,Login as LordWiggleworth (admin),
BG.2.2.,Admin,Open Feline Aerodynamics Review journal (available on your dashboard),
BG.2.3.,Admin,Click Add Flag button,
BG.2.4.,Admin,"Assign ""ProfessorQuibbleton"" (admin)",
BG.2.5.,Admin,Add deadline in exactly 1 week,
BG.2.6.,Admin,In text area add flag's note (any text),
BG.2.7.,Admin,"Save application, Unlock & Close the form",
BG.2.8.,Admin,Log out,
BG.2.9.,Admin,"Log in as ""ProfessorQuibbleton""",
BG.2.9.1.,Admin,,At the top navbar Notifications indicate a new notification
BG.2.10.,Admin,Hover over Notifications button,
BG.2.11.,Admin,Click on the notification,
BG.2.11.1.,Admin,,Feline Aerodynamics Review journal form is opened in a new tab
BG.2.11.2.,Admin,,"On the right the flag is displayed and assigned to you (""ProfessorQuibbleton"")"
BG.2.12.,Admin,"Unlock & Close the form, close the tab",
BG.2.13.,Admin,Click the Notifications button at the top navigation bar,
BG.2.13.1.,Admin,,/dashboard/notifications opens
BG.2.13.2.,Admin,,"At the top of the list ""New flag"" notification is displayed."
BG.2.13.3.,Admin,,"The long description says ""A new flag in 'Feline Aerodynamics Review' (id) has been assigned to you"""
BG.2.14.,Admin,Open the testdrive/flags page <b>do not close the page where you are logged in</b>,
BG.2.15.,Admin,"Click ""Run background task"" button, wait for the task to execute",
BG.2.16.,Admin,Go back to the tab where you are logged as ProfessorQuibbleton,
BG.2.17.,Admin,refresh the page,
BG.2.18.,Admin,navigate to /dashboard/notifications if not already there,
BG.2.18.1.,Admin,,"At the top of the notifications list a new notification ""Deadline reminder"" is listed"
BG.2.18.2.,Admin,,"Long description says ""The deadline for the flag in 'Feline Aerodynamics Review' (id) is in 7 days."""
BG.2.18.3.,Admin,,At the top navbar Notifications button has a new notification marked
BG.2.19.,Admin,"Click ""See action"" link at the right of the new ""Deadline reminder"" notification",
BG.2.19.1.,Admin,,Feline Aerodynamics Review journal form is opened in a new tab
BG.2.20.,Admin,"Unlock & Close the form, close the tab",
----------,----------,----------,----------

----------,----------,----------,----------
## BG.3,----------,## Admin - Dashboard [NOT CURRENTLY USED],----------
BG.3.1.,Admin,Navigate to /testdrive/flags,
BG.3.2.,Admin,Login as an admin,
BG.3.2.1.,Admin,,You are presented with your dashboard
BG.3.2.2.,Admin,,The following records are displayed in your dashboard
BG.3.2.3.,Admin,,"Journal of Intergalactic Diplomacy - an application flagged to you with an urgent deadline (within 7 days), assigned to an associate in a group you are not a member of, marked as Flagged to you (Urgent Deadline)"
BG.3.2.4.,Admin,,"Journal of Quantum Homeopathy - an update request flagged to you with an urgent deadline (within 7 days), assigned to an associate from your group, marked as Flagged to you (Urgent Deadline)"
BG.3.2.5.,Admin,,"The Mars Agricultural Review - an application with a non-urgent flag (deadline in more than 7 days), marked as Flagged to you"
BG.3.2.6.,Admin,,"Cryptid Behavioral Studies Quarterly - an update request with a non-urgent flag (with no deadline), marked as Flagged to you"
BG.3.2.7.,Admin,,"The Bermuda Triangle Journal of Lost and Found - an application assigned to an editor from your group, flagged to someone else, NOT marked as flagged"
BG.3.2.8.,Admin,,"Feline Aerodynamics Review - an update request assigned to you, with no flags"
BG.3.2.9.,Admin,,You DO NOT see the Applied Alchemy & Unstable Chemistry update request (flagged to someone else and not assigned to your group)
BG.3.2.10.,Admin,,Records with deadlines are ordered from the most urgent to the least urgent
BG.3.3.,Admin,Open Cryptid Behavioral Studies Quarterly journal,
BG.3.4.,Admin,"Change the deadline of the flag to the past (e.g., 2020-01-01)",
BG.3.5.,Admin,Save the record and then unlock and close,
BG.3.6.,Admin,Go back to your dashboard and refresh the page,
BG.3.6.1.,Admin,,"Cryptid Behavioral Studies Quarterly is now displayed first as the most urgent, and it is marked as Flagged to you (Urgent Deadline)"
BG.3.7.,Admin,Click on the New Applications filter,
BG.3.7.1.,Admin,,Records Journal of Intergalactic Diplomacy and The Mars Agricultural Review are listed
BG.3.8.,Admin,Click on the Update Requests filter,
