Step Number,User/User Role,Action,Expected Test Results,Testers feedback on script
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,# Application State Change: Update Request Rejection,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,application_state_change/update_request_rejection,~~~~~~~~~~
~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~,~~~~~~~~~~
----------,----------,----------,----------
## L.1,----------,"## Reject, Unreject and Accept",----------
L.1.1.,admin,Create an Update Request for a journal that does not have a current Update Request.  Make a change that will be fairly easy to review from the ToC (e.g. the APC amount).  Take a note of the Journal's ToC URL,
L.1.2.,admin,Locate the Update Request created in the previous step from the admin area search,
L.1.2.1.,admin,,"The record contains the value ""Update Request For: [journal id]"""
L.1.3.,admin,"Click ""Review Update""",
L.1.4.,admin,"Change the Application Status to ""Rejected",
L.1.5.,admin,"Click ""Save""",
L.1.6.,admin,"Click the ""Unlock and Close"" button / close the window",
L.1.7.,admin,"Go to the ""My update requests"" page of the publisher dashboard",
L.1.7.1.,admin,,The update request is no longer visible
L.1.8.,admin,Find the Update Request again via the search (e.g. filter by Rejected and sort by last updated most recent first),
L.1.8.1.,admin,,"Update Request says ""Originally For: [journal id]"""
L.1.9.,admin,"Click ""View Finished Update""",
L.1.10.,admin,"Change the Application Status to ""Pending""",
L.1.11.,admin,"Click ""Save""",
L.1.12.,admin,"Click the ""Unlock and Close"" button / close the window",
L.1.13.,admin,"Go to the ""My update requests"" page of the publisher dashboard",
L.1.13.1.,admin,,"The update request is visible again in the status ""Pending"""
L.1.14.,admin,Find the Update Request again via the search (e.g. filter by Pending and sort by last updated most recent first),
L.1.14.1.,admin,,"The record contains the value ""Update Request For: [journal id]"""
L.1.15.,admin,"Click ""Review Update""",
L.1.16.,admin,"Change the Application Status to ""Accepted""",
L.1.17.,admin,"Click ""Save""",
L.1.18.,admin,"Click the ""Unlock and Close"" button / close the window",
L.1.19.,admin,Go to the Journal ToC,
L.1.19.1.,admin,,The Journal page has been updated with the new information from the Update Request (e.g the updated APC amount)
L.1.20.,admin,Search for the Journal's ISSN in the admin journal search,
L.1.20.1.,admin,,There is only one Journal published in DOAJ with that ISSN
L.1.21.,admin,Find the accepted application via the admin search (e.g. filter by Accepted and sort by last updated most recent first),
L.1.21.1.,admin,,"Update Request says ""Produced Journal: [journal id]"""
----------,----------,----------,----------

----------,----------,----------,----------
## L.2,----------,## Reject then Resubmit,----------
L.2.1.,admin,Create an Update Request for a journal that does not have a current Update Request.  Make a change that will be fairly easy to review from the ToC (e.g. the APC amount).  Take a note of the Journal's ToC URL,
L.2.2.,admin,Locate the Update Request created in the previous step from the admin area search,
L.2.3.,admin,"Click ""Review Update""",
L.2.4.,admin,"Change the Application Status to ""Rejected",
L.2.5.,admin,"Click ""Save""",
L.2.6.,admin,Create another Update Request for the same journal.  Make a change that will be fairly easy to review from the ToC (e.g. the APC amount) AND which is different from the change made before.  Take a note of the Journal's ToC URL,
L.2.6.1.,admin,,https://testdoaj.cottagelabs.com/toc/2297-6809
L.2.7.,admin,Locate the new Update Request created in the previous step in the admin search area,
L.2.8.,admin,"Click ""Review Update""",
L.2.9.,admin,"Change the Application Status to ""Accepted""",
L.2.10.,admin,"Click ""Save""",
L.2.11.,admin,Go to the Journal ToC,
L.2.11.1.,admin,,The Journal page has been updated with the new information from the Update Request (e.g the updated APC amount)
L.2.12.,admin,Search for the Journal's ISSN in the admin journal search,
L.2.12.1.,admin,,There is only one Journal published in DOAJ with that ISSN
L.2.13.,admin,Find the accepted application via the admin search (e.g. filter by Accepted and sort by last updated most recent first),
L.2.13.1.,admin,,"Update Request says ""Produced Journal: [journal id]"""
----------,----------,----------,----------

----------,----------,----------,----------
## L.3,----------,"## Reject, Resubmit, Unreject",----------
L.3.1.,admin,Create an Update Request for a journal that does not have a current Update Request.  Make a change that will be fairly easy to review from the ToC (e.g. the APC amount).  Take a note of the Journal's ToC URL,
L.3.2.,admin,Locate the Update Request created in the previous step from the admin area search,
L.3.3.,admin,"Click ""Review Update""",
L.3.4.,admin,"Change the Application Status to ""Rejected",
L.3.5.,admin,"Click ""Save""",
L.3.6.,admin,Create another Update Request for the same journal.  Make a change that will be fairly easy to review from the ToC (e.g. the APC amount) AND which is different from the change made before.  Take a note of the Journal's ToC URL,
L.3.7.,admin,Locate the first Update Request in the admin area search,
L.3.8.,admin,"Click ""View Finished Update""",
L.3.9.,admin,"Change the Application Status to ""Pending""",
L.3.10.,admin,"Click ""Save""",
L.3.10.1.,admin,,You receive an error message saying that the Update Request cannot be unrejected
L.3.10.2.,admin,,"Application status remains ""Rejected"""
----------,----------,----------,----------

----------,----------,----------,----------
## L.4,----------,"## Reject, Reject, Unreject",----------
L.4.1.,admin,Create an Update Request for a journal that does not have a current Update Request.  Make a change that will be fairly easy to review from the ToC (e.g. the APC amount).  Take a note of the Journal's ToC URL,
L.4.2.,admin,Locate the Update Request created in the previous step from the admin area search,
L.4.3.,admin,"Click ""Review Update""",
L.4.4.,admin,"Change the Application Status to ""Rejected",
L.4.5.,admin,"Click ""Save""",
L.4.6.,admin,Create another Update Request for the same journal.  Make a change that will be fairly easy to review from the ToC (e.g. the APC amount) AND which is different from the change made before.  Take a note of the Journal's ToC URL,
L.4.7.,admin,Locate the Update Request created in the previous step from the admin area search,
L.4.8.,admin,"Click ""Review Update""",
L.4.9.,admin,"Change the Application Status to ""Rejected",
L.4.10.,admin,"Click ""Save""",
L.4.11.,admin,"Locate the first Update Reques in the admin area search (e.g. filter by Rejected and order by last updated, oldest first - the record we want should be the second one on the list)",
L.4.12.,admin,"Click ""View Finished Update""",
L.4.13.,admin,"Change the Application Status to ""Accepted""",
L.4.14.,admin,"Click ""Save""",
L.4.14.1.,admin,,The update request saves successfully
L.4.15.,admin,Go to the Journal ToC,
L.4.15.1.,admin,,The Journal page has been updated with the new information from the first Update Request (e.g the updated APC amount)
L.4.16.,admin,Search for the Journal's ISSN in the admin journal search,
L.4.16.1.,admin,,There is only one Journal published in DOAJ with that ISSN
L.4.17.,admin,Find the accepted application via the admin search (e.g. filter by Accepted and sort by last updated most recent first),
L.4.17.1.,admin,,"Update Request says ""Produced Journal: [journal id]"""
----------,----------,----------,----------

